milestone_id,project_id,name,type,planned_start_p50,planned_start_p90,planned_end_p50,planned_end_p90,duration_days_p50,duration_days_p90,gating_flag,external_dependency,notes,_name_lower,_end,_start,_dt_pref,owner_id,owner_name,progress_pct,status,last_update_utc,_phase_order,_dur_days,filled_start,filled_end,capacity_effect,capacity_delta_mw_override
MS_proj_022_retirement_plan_approved,proj_022,Retirement plan approved,gate,9/23/2031,9/23/2031,10/13/2031,11/22/2031,20,60,TRUE,,"Stakeholder sign-off, regulatory notifications initiated.",retirement plan approved,,,10/14/2025,,,,,,6,,,,retire,-100
MS_proj_022_fuel_isolation_&_purge_complete,proj_022,Fuel isolation & purge complete,execution,10/13/2031,10/13/2031,12/2/2031,1/11/2032,50,90,FALSE,,"Fuel systems isolated, lines purged; environmental controls in place.",fuel isolation & purge complete,,,12/3/2025,,,,,,4,,,,retire,-50
MS_proj_022_decommissioning_start,proj_022,Decommissioning start,execution,12/2/2031,12/2/2031,1/1/2032,2/10/2032,30,70,FALSE,,"Begin de-energization, draining, and asset safing activities.",decommissioning start,,,1/2/2026,,,,,,5,,,,retire,-30
MS_proj_022_hazmat_ash_handling_secured,proj_022,Hazmat/ash handling secured,execution,1/1/2032,1/1/2032,3/11/2032,4/20/2032,70,110,FALSE,,Secure and process ash/hazmat per procedures; waste handling plans.,hazmat/ash handling secured,,,3/13/2026,,,,,,6,,,,retire,-10
MS_proj_022_equipment_de-energized_&_cleared,proj_022,Equipment de-energized & cleared,execution,3/11/2032,3/11/2032,6/19/2032,7/29/2032,100,140,FALSE,,All equipment verified de-energized; LOTO and clearances documented.,equipment de-energized & cleared,,,6/21/2026,,,,,,5,,,,none,-110
MS_proj_022_demolition_start,proj_022,Demolition start,execution,6/19/2032,6/19/2032,7/19/2032,8/28/2032,30,70,FALSE,,Demolition contractor mobilized; structural works commence.,demolition start,,,7/21/2026,,,,,,6,,,,retire,
MS_proj_022_site_remediation_complete,proj_022,Site remediation complete,execution,7/19/2032,7/19/2032,8/8/2032,9/17/2032,20,60,FALSE,,Soil/groundwater remediation activities to regulatory targets.,site remediation complete,,,8/10/2026,,,,,,6,,,,none,
MS_proj_022_closure___turnover,proj_022,Closure / turnover,closeout,8/8/2032,8/8/2032,8/28/2032,10/7/2032,20,60,TRUE,,Final inspections and turnover to site operations/owner.,closure / turnover,,,8/30/2026,,,,,,6,,,,none,
retire_bowen_1_2_MS1,retire_bowen_1_2,Retirement plan approved,Gate,10/15/2034,12/4/2034,11/14/2034,2/12/2035,20,60,TRUE,,"Stakeholder sign-off, regulatory notifications initiated. UPDATED: Delayed to after BESS-PV-COLOC-200-200 commissioning",retirement plan approved,,,10/15/2034,,,,,,6,,,,retire,-70
retire_bowen_1_2_MS2,retire_bowen_1_2,Fuel isolation & purge complete,Execution,3/24/2035,5/13/2035,5/13/2035,8/11/2035,50,90,FALSE,,"Fuel systems isolated, lines purged; environmental controls in place.",fuel isolation & purge complete,,,1/14/2035,,,,,,4,,,,retire,-105
retire_bowen_1_2_MS3,retire_bowen_1_2,Decommissioning start,Execution,9/20/2035,11/9/2035,10/20/2035,1/18/2036,30,70,FALSE,,"Begin de-energization, draining, and asset safing activities. UPDATED: Gated by BESS commissioning (9/15/2034) + 30 day lag",decommissioning start,,,7/7/2035,,,,,,5,,,,retire,-105
retire_bowen_1_2_MS4,retire_bowen_1_2,Hazmat/ash handling secured,Execution,2/27/2036,4/18/2036,5/28/2036,8/26/2036,70,110,FALSE,,Secure and process ash/hazmat per procedures; waste handling plans.,hazmat/ash handling secured,,,12/15/2035,,,,,,6,,,,retire,-35
retire_bowen_1_2_MS5,retire_bowen_1_2,Equipment de-energized & cleared,Execution,10/6/2036,11/25/2036,1/14/2037,6/13/2037,100,140,FALSE,,All equipment verified de-energized; LOTO and clearances documented.,equipment de-energized & cleared,,,8/27/2036,,,,,,5,,,,none,
retire_bowen_1_2_MS6,retire_bowen_1_2,Demolition start,Execution,7/24/2037,9/12/2037,8/23/2037,11/21/2037,30,70,FALSE,,Demolition contractor mobilized; structural works commence.,demolition start,,,5/15/2037,,,,,,6,,,,retire,-35
retire_bowen_1_2_MS7,retire_bowen_1_2,Site remediation complete,Execution,2/10/2038,4/1/2038,3/2/2038,5/31/2038,20,60,FALSE,,Soil/groundwater remediation activities to regulatory targets.,site remediation complete,,,12/1/2037,,,,,,6,,,,none,
retire_bowen_1_2_MS8,retire_bowen_1_2,Closure / turnover,Closeout,7/20/2038,9/8/2038,8/19/2038,11/17/2038,20,60,TRUE,,Final inspections and turnover to site operations/owner.,closure / turnover,,,5/1/2038,,,,,,6,,,,none,
retire_Plant28_MS1,retire_Plant28,Retirement plan approved,Gate,10/6/2035,11/25/2035,11/5/2035,2/3/2036,20,60,TRUE,,"Stakeholder sign-off, regulatory notifications initiated. UPDATED: Delayed to after proj_009 commissioning",retirement plan approved,,,10/6/2035,,,,,,6,,,,retire,0
retire_Plant28_MS2,retire_Plant28,Fuel isolation & purge complete,Execution,3/15/2036,5/4/2036,5/4/2036,8/2/2036,50,90,FALSE,,"Fuel systems isolated, lines purged; environmental controls in place.",fuel isolation & purge complete,,,1/5/2036,,,,,,4,,,,retire,-300
retire_Plant28_MS3,retire_Plant28,Decommissioning start,Execution,9/11/2036,10/31/2036,10/11/2036,1/9/2037,30,70,FALSE,,"Begin de-energization, draining, and asset safing activities. UPDATED: Gated by proj_009 commissioning (9/6/2035) + 30 day lag",decommissioning start,,,6/18/2036,,,,,,5,,,,retire,-300
retire_Plant28_MS4,retire_Plant28,Hazmat/ash handling secured,Execution,2/18/2037,4/9/2037,5/20/2037,8/18/2037,70,110,FALSE,,Secure and process ash/hazmat per procedures; waste handling plans.,hazmat/ash handling secured,,,11/5/2036,,,,,,6,,,,retire,-600
retire_Plant28_MS5,retire_Plant28,Equipment de-energized & cleared,Execution,9/27/2037,11/16/2037,1/5/2038,6/4/2038,100,140,FALSE,,All equipment verified de-energized; LOTO and clearances documented.,equipment de-energized & cleared,,,8/18/2036,,,,,,5,,,,none,-600
retire_Plant28_MS6,retire_Plant28,Demolition start,Execution,7/15/2038,9/3/2038,8/14/2038,11/12/2038,30,70,FALSE,,Demolition contractor mobilized; structural works commence.,demolition start,,,5/5/2037,,,,,,6,,,,retire,
retire_Plant28_MS7,retire_Plant28,Site remediation complete,Execution,2/1/2039,3/23/2039,2/21/2039,5/22/2039,20,60,FALSE,,Soil/groundwater remediation activities to regulatory targets.,site remediation complete,,,11/12/2037,,,,,,6,,,,none,
retire_Plant28_MS8,retire_Plant28,Closure / turnover,Closeout,7/11/2039,8/30/2039,8/10/2039,11/8/2039,20,60,TRUE,,Final inspections and turnover to site operations/owner.,closure / turnover,,,4/21/2038,,,,,,6,,,,none,
MS_tall_wind_demo_engineering,tall_wind_demo,Engineering,engineering,1/1/2025,2/20/2025,6/30/2025,11/17/2025,180,270,FALSE,,wind / WECC,engineering,,,6/30/2023,,,,,,1,,,,none,
MS_tall_wind_demo_procurement,tall_wind_demo,Procurement,procurement,12/27/2025,2/15/2026,8/24/2026,2/10/2027,240,360,FALSE,,wind / WECC,procurement,,,2/25/2024,,,,,,2,,,,none,
MS_tall_wind_demo_construction,tall_wind_demo,Construction,construction,3/22/2027,5/11/2027,3/16/2028,11/1/2028,360,540,FALSE,,wind / WECC,construction,,,2/19/2025,,,,,,3,,,,none,
MS_tall_wind_demo_interconnection,tall_wind_demo,Interconnection,interconnection,12/11/2028,1/30/2029,6/4/2030,7/19/2031,540,900,TRUE,ISO queue,wind / WECC,interconnection,,,8/13/2026,,,,,,4,,,,build,36
MS_tall_wind_demo_commissioning,tall_wind_demo,Commissioning,commissioning,8/28/2031,10/17/2031,11/20/2032,1/15/2032,450,90,TRUE,,wind / WECC,commissioning,,,9/27/2026,,,,,,5,,,,build,84
